,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Year,Seed,Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1996,1,Chicago Bulls,30.5,15,3,0.833,15,3,111.5,99.4,12.1,86.8,0.351,0.253,0.529,,0.481,13.5,39.1,0.259,,0.480,18.1,72.6,0.267
2,1996,3,Utah Jazz,29.6,10,8,0.556,14,4,109.7,100.8,8.9,85.8,0.356,0.169,0.546,,0.505,13.2,29.3,0.252,,0.478,16.9,72.5,0.308
3,1996,2,Orlando Magic,27.2,7,5,0.583,7,5,114.5,112.7,1.8,85.8,0.356,0.238,0.557,,0.540,13.1,33.3,0.209,,0.512,13.2,66.0,0.263
4,1996,1,Seattle Supersonics,29.9,13,8,0.619,12,9,105.7,104.1,1.6,88.2,0.389,0.270,0.570,,0.521,17.7,26.0,0.294,,0.471,14.6,69.1,0.255
5,1996,5,New York Knicks,30.7,4,4,0.500,4,4,102.4,102.3,0.1,85.4,0.379,0.233,0.548,,0.508,18.0,24.0,0.264,,0.447,13.3,65.6,0.201
6,1996,3,Indiana Pacers,29.0,2,3,0.400,2,3,102.5,103.7,-1.2,83.1,0.332,0.155,0.516,,0.463,18.1,38.0,0.255,,0.476,15.6,65.6,0.202
7,1996,4,Los Angeles Lakers,27.5,1,3,0.250,2,2,101.4,103.6,-2.2,93.4,0.286,0.280,0.512,,0.468,14.7,28.3,0.216,,0.500,11.3,83.2,0.194
8,1996,2,San Antonio Spurs,29.2,5,5,0.500,4,6,108.5,111.5,-3.0,86.8,0.377,0.159,0.550,,0.507,13.9,28.8,0.268,,0.498,12.4,67.9,0.203
9,1996,6,Atlanta Hawks,27.4,4,6,0.400,3,7,107.9,112.9,-5.0,85.0,0.322,0.272,0.536,,0.494,13.9,31.0,0.236,,0.512,14.6,61.0,0.226
10,1996,5,Houston Rockets,29.6,3,5,0.375,3,5,103.2,108.4,-5.2,93.5,0.287,0.278,0.527,,0.488,12.9,21.0,0.211,,0.522,14.7,73.0,0.222
11,1996,8,Sacramento Kings,26.8,1,3,0.250,1,3,96.0,102.6,-6.6,91.4,0.385,0.216,0.507,,0.463,18.4,31.6,0.260,,0.497,16.5,76.9,0.304
12,1996,6,Portland Trail Blazers,28.9,2,3,0.400,1,4,101.6,112.9,-11.3,86.4,0.445,0.224,0.488,,0.436,13.2,31.4,0.294,,0.501,11.3,70.9,0.332
13,1996,7,Phoenix Suns,29.0,1,3,0.250,1,3,109.1,121.3,-12.2,90.5,0.305,0.151,0.506,,0.458,10.1,31.5,0.233,,0.567,10.9,70.6,0.212
14,1996,4,Cleveland Cavaliers,27.9,0,3,0.000,0,3,98.5,111.7,-13.2,80.9,0.203,0.284,0.494,,0.459,14.2,29.4,0.158,,0.572,16.1,76.0,0.204
15,1996,7,Detroit Pistons,28.1,0,3,0.000,0,3,107.6,122.9,-15.3,82.7,0.343,0.231,0.537,,0.488,13.9,31.6,0.259,,0.573,11.7,67.6,0.241
16,1996,8,Miami Heat,27.2,0,3,0.000,0,3,92.6,118.0,-25.4,90.4,0.310,0.324,0.511,,0.472,20.4,27.6,0.218,,0.551,15.0,64.3,0.308
,1996,,League Average,29.1,,,,4,4,106.8,106.8,,87.1,0.351,0.232,0.538,,0.495,14.7,30.3,0.251,,0.495,14.7,69.7,0.251
