,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Year,Seed,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,2001,2,Los Angeles Lakers,28.3,15,1,0.938,14,2,111.6,97.9,13.7,92.0,0.375,0.194,0.542,,0.505,12.8,33.0,0.254,,0.433,13.1,74.1,0.249
2,2001,6,Charlotte Hornets,28.1,6,4,0.600,7,3,108.0,100.9,7.1,88.6,0.402,0.154,0.521,,0.462,11.6,30.3,0.301,,0.470,14.7,73.8,0.211
3,2001,2,Milwaukee Bucks,28.4,10,8,0.556,10,8,107.8,106.2,1.6,88.3,0.294,0.218,0.526,,0.476,12.5,30.4,0.235,,0.447,10.8,68.8,0.242
4,2001,5,Toronto Raptors,29.6,6,6,0.500,6,6,106.0,105.0,1.0,86.9,0.262,0.190,0.520,,0.481,13.3,29.4,0.198,,0.477,13.8,71.4,0.259
5,2001,3,Sacramento Kings,26.8,3,5,0.375,4,4,101.5,101.3,0.2,96.2,0.333,0.166,0.495,,0.432,14.4,32.0,0.272,,0.448,13.0,69.9,0.256
6,2001,1,Philadelphia 76ers,28.3,12,11,0.522,11,12,105.7,105.8,-0.1,87.0,0.332,0.141,0.498,,0.445,11.8,32.7,0.253,,0.486,13.3,71.5,0.201
7,2001,1,San Antonio Spurs,30.2,7,6,0.538,6,7,102.2,102.6,-0.4,89.6,0.353,0.200,0.521,,0.475,13.7,25.0,0.253,,0.442,11.1,70.7,0.202
8,2001,4,New York Knicks,29.9,2,3,0.400,2,3,101.3,105.0,-3.7,87.8,0.328,0.165,0.545,,0.496,15.2,22.4,0.255,,0.462,13.3,70.1,0.231
9,2001,5,Dallas Mavericks,26.1,4,6,0.400,4,6,104.2,108.4,-4.2,88.5,0.317,0.213,0.501,,0.436,11.2,27.0,0.269,,0.491,13.1,69.7,0.255
10,2001,4,Utah Jazz,32.6,2,3,0.400,2,3,103.8,108.6,-4.8,86.3,0.332,0.141,0.503,,0.447,12.0,30.3,0.257,,0.468,13.1,75.0,0.332
11,2001,7,Orlando Magic,25.9,1,3,0.250,1,3,107.9,113.9,-6.0,92.8,0.273,0.228,0.511,,0.479,10.1,27.4,0.187,,0.453,10.3,63.4,0.334
12,2001,8,Indiana Pacers,27.8,1,3,0.250,1,3,100.3,107.5,-7.2,87.0,0.228,0.222,0.482,,0.436,12.1,26.4,0.188,,0.444,10.6,65.9,0.277
13,2001,8,Minnesota Timberwolves,27.8,1,3,0.250,1,3,93.5,100.9,-7.4,87.7,0.270,0.126,0.461,,0.406,12.5,25.0,0.220,,0.470,14.1,75.9,0.257
14,2001,6,Phoenix Suns,28.7,1,3,0.250,1,3,92.2,102.1,-9.9,96.0,0.254,0.190,0.445,,0.404,12.1,27.7,0.182,,0.434,15.1,65.8,0.282
15,2001,7,Portland Trail Blazers,31.3,0,3,0.000,0,3,97.3,113.4,-16.1,91.4,0.341,0.266,0.507,,0.454,14.6,22.1,0.258,,0.486,10.6,65.6,0.237
16,2001,3,Miami Heat,29.8,0,3,0.000,0,3,87.5,112.4,-24.9,89.6,0.267,0.230,0.484,,0.447,18.8,18.8,0.189,,0.496,13.6,69.7,0.363
,2001,,League Average,28.6,,,,4,4,104.5,104.5,,89.3,0.322,0.185,0.511,,0.462,12.7,29.3,0.244,,0.462,12.7,70.7,0.244
