,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Year,Seed,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,2014,1,San Antonio Spurs,29.6,16,7,0.696,18,5,114.2,104.2,10.0,92.7,0.291,0.267,0.583,,0.546,12.1,23.6,0.223,,0.492,13.4,77.2,0.197
2,2014,3,Los Angeles Clippers,28.2,6,7,0.462,7,6,113.3,111.3,2.0,96.0,0.334,0.302,0.555,,0.515,11.4,26.2,0.244,,0.521,14.9,70.4,0.272
3,2014,2,Miami Heat,31.1,13,7,0.650,11,9,112.8,110.8,2.0,86.2,0.305,0.326,0.594,,0.555,12.9,17.1,0.238,,0.539,14.2,75.3,0.220
4,2014,5,Washington Wizards,26.8,6,5,0.545,6,5,102.0,100.9,1.1,87.8,0.285,0.211,0.504,,0.468,12.5,27.9,0.198,,0.471,12.7,79.7,0.227
5,2014,4,Houston Rockets,25.2,2,4,0.333,3,3,114.8,114.4,0.4,92.7,0.325,0.280,0.534,,0.490,11.7,35.3,0.242,,0.507,10.6,72.8,0.258
6,2014,8,Atlanta Hawks,27.9,3,4,0.429,3,4,101.9,103.0,-1.1,90.7,0.316,0.417,0.515,,0.456,13.1,20.4,0.261,,0.500,14.6,76.2,0.220
7,2014,1,Indiana Pacers,27.1,10,9,0.526,9,10,103.7,104.8,-1.1,88.3,0.314,0.258,0.540,,0.500,13.8,21.1,0.228,,0.493,13.6,77.0,0.218
8,2014,2,Oklahoma City Thunder,26.6,10,9,0.526,9,10,108.1,109.2,-1.1,92.3,0.327,0.287,0.551,,0.496,14.0,27.1,0.268,,0.485,10.5,74.2,0.212
9,2014,6,Brooklyn Nets,30.7,5,7,0.417,5,7,110.5,112.0,-1.5,86.4,0.330,0.302,0.555,,0.514,12.5,25.1,0.243,,0.516,13.3,77.0,0.306
10,2014,3,Toronto Raptors,25.2,3,4,0.429,3,4,108.2,110.0,-1.8,88.8,0.391,0.283,0.553,,0.486,15.0,26.8,0.326,,0.506,11.8,77.0,0.291
11,2014,8,Dallas Mavericks,31.3,3,4,0.429,3,4,110.0,112.1,-2.1,92.0,0.217,0.259,0.532,,0.500,10.7,26.4,0.166,,0.542,13.4,76.6,0.245
12,2014,6,Golden State Warriors,26.2,3,4,0.429,3,4,110.2,114.8,-4.6,96.6,0.335,0.316,0.558,,0.518,15.3,30.8,0.244,,0.529,12.9,72.1,0.290
13,2014,4,Chicago Bulls,28.6,1,4,0.200,2,3,103.0,108.3,-5.3,85.6,0.290,0.244,0.508,,0.463,13.0,27.9,0.219,,0.479,10.2,72.2,0.225
14,2014,7,Memphis Grizzlies,29.7,3,4,0.429,2,5,102.8,108.5,-5.7,88.8,0.293,0.173,0.486,,0.442,10.1,27.0,0.214,,0.483,14.1,69.0,0.263
15,2014,5,Portland Trail Blazers,25.8,5,6,0.455,3,8,107.2,113.6,-6.4,94.6,0.281,0.260,0.529,,0.482,12.3,26.1,0.224,,0.508,10.4,70.6,0.208
16,2014,7,Charlotte Bobcats,25.5,0,4,0.000,1,3,101.5,112.3,-10.8,90.6,0.312,0.282,0.537,,0.500,14.9,20.8,0.223,,0.539,10.7,85.7,0.260
,2014,,League Average,28.2,,,,6,6,108.7,108.7,,90.6,0.308,0.279,0.548,,0.505,12.8,24.9,0.235,,0.505,12.8,75.1,0.235
