,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Year,Seed,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1998,1,Chicago Bulls,32.1,15,6,0.714,16,5,109.7,101.4,8.3,84.1,0.367,0.169,0.523,,0.472,12.4,34.3,0.269,,0.476,15.6,72.4,0.242
2,1998,5,San Antonio Spurs,29.5,4,5,0.444,6,3,105.1,101.4,3.7,86.3,0.427,0.179,0.536,,0.489,14.4,28.3,0.294,,0.453,10.7,74.9,0.200
3,1998,3,Indiana Pacers,30.0,10,6,0.625,9,7,107.0,104.4,2.6,85.2,0.422,0.208,0.556,,0.499,15.1,25.6,0.321,,0.467,15.3,67.4,0.296
4,1998,1,Utah Jazz,30.4,13,7,0.650,12,8,102.8,100.4,2.4,85.6,0.347,0.127,0.526,,0.477,14.5,25.6,0.258,,0.441,13.0,71.1,0.282
5,1998,5,Atlanta Hawks,29.3,1,3,0.250,2,2,104.7,102.9,1.8,83.6,0.305,0.247,0.528,,0.495,13.3,28.8,0.209,,0.511,14.3,78.4,0.190
6,1998,3,Los Angeles Lakers,25.9,7,6,0.538,7,6,113.3,111.9,1.4,88.4,0.471,0.233,0.553,,0.514,12.5,33.1,0.306,,0.501,13.7,68.3,0.276
7,1998,2,Miami Heat,28.0,2,3,0.400,2,3,101.8,104.3,-2.5,85.9,0.425,0.287,0.529,,0.483,14.1,21.1,0.290,,0.465,14.7,71.9,0.321
8,1998,7,New York Knicks,30.2,4,6,0.400,4,6,101.1,103.6,-2.5,86.7,0.335,0.184,0.523,,0.472,16.0,26.9,0.256,,0.481,14.2,77.0,0.319
9,1998,2,Seattle Supersonics,31.6,4,6,0.400,4,6,111.4,114.3,-2.9,85.4,0.295,0.245,0.538,,0.497,12.6,32.3,0.222,,0.516,13.7,64.3,0.233
10,1998,6,Portland Trail Blazers,26.1,1,3,0.250,1,3,109.4,114.1,-4.7,91.2,0.358,0.192,0.542,,0.489,15.0,33.5,0.277,,0.531,11.5,74.0,0.363
11,1998,7,Minnesota Timberwolves,27.6,2,3,0.400,1,4,104.6,111.4,-6.8,86.2,0.256,0.246,0.508,,0.462,13.6,31.5,0.206,,0.512,13.8,69.4,0.230
12,1998,4,Charlotte Hornets,29.5,4,5,0.444,2,7,99.0,106.2,-7.2,83.6,0.261,0.152,0.509,,0.479,14.8,23.8,0.178,,0.480,12.6,69.2,0.222
13,1998,8,Houston Rockets,32.9,2,3,0.400,1,4,95.5,103.2,-7.7,88.6,0.395,0.247,0.478,,0.416,12.8,24.7,0.289,,0.480,13.5,76.5,0.283
14,1998,4,Phoenix Suns,28.0,1,3,0.250,1,3,101.8,110.0,-8.2,91.4,0.249,0.150,0.492,,0.459,10.4,26.1,0.173,,0.530,14.0,73.5,0.289
15,1998,8,New Jersey Nets,27.6,0,3,0.000,1,2,107.3,116.0,-8.7,85.5,0.314,0.093,0.531,,0.485,13.0,33.3,0.237,,0.515,13.4,64.3,0.275
16,1998,6,Cleveland Cavaliers,23.9,1,3,0.250,1,3,97.6,107.3,-9.7,82.7,0.573,0.098,0.524,,0.449,19.2,30.3,0.415,,0.514,15.7,74.2,0.257
,1998,,League Average,29.6,,,,4,4,105.6,105.6,,85.9,0.366,0.188,0.529,,0.481,13.9,28.9,0.265,,0.481,13.9,71.1,0.265
