,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Year,Seed,Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1992,1,Chicago Bulls,27.8,15,7,0.682,16,6,112.2,105.3,6.9,89.0,0.350,0.083,0.547,,0.502,12.9,32.8,0.257,,0.468,14.2,67.8,0.277
2,1992,1,Portland Trail Blazers,28.6,13,8,0.619,13,8,113.6,110.1,3.5,94.5,0.405,0.126,0.557,,0.504,13.6,34.8,0.304,,0.492,13.7,70.8,0.318
3,1992,3,Cleveland Cavaliers,28.5,9,8,0.529,10,7,112.3,109.6,2.7,91.7,0.356,0.109,0.561,,0.501,13.3,30.8,0.295,,0.483,11.5,66.8,0.182
4,1992,4,Phoenix Suns,26.9,4,4,0.500,4,4,116.0,114.6,1.4,99.6,0.392,0.110,0.569,,0.506,12.1,31.1,0.323,,0.515,12.9,66.4,0.287
5,1992,4,New York Knicks,27.3,6,6,0.500,6,6,105.7,104.6,1.1,84.6,0.340,0.113,0.501,,0.449,13.2,38.7,0.253,,0.464,13.4,70.9,0.271
6,1992,3,Golden State Warriors,25.8,1,3,0.250,2,2,117.2,116.7,0.5,99.8,0.438,0.134,0.557,,0.507,10.5,31.1,0.315,,0.516,15.6,57.7,0.327
7,1992,2,Utah Jazz,28.9,9,7,0.563,8,8,113.7,113.2,0.5,89.9,0.434,0.079,0.560,,0.491,13.4,33.4,0.351,,0.503,12.5,67.6,0.267
8,1992,2,Boston Celtics,29.8,6,4,0.600,5,5,114.6,114.4,0.2,91.6,0.266,0.035,0.541,,0.502,10.6,34.0,0.204,,0.524,12.3,74.9,0.290
9,1992,6,Seattle Supersonics,27.0,4,5,0.444,4,5,113.3,116.6,-3.3,93.1,0.365,0.135,0.560,,0.505,14.6,36.8,0.289,,0.505,11.8,68.0,0.325
10,1992,7,Los Angeles Clippers,27.7,2,3,0.400,2,3,108.4,112.8,-4.4,90.6,0.328,0.067,0.529,,0.489,12.3,31.8,0.232,,0.496,13.5,68.3,0.353
11,1992,7,Indiana Pacers,26.5,0,3,0.000,1,2,111.0,118.6,-7.6,93.7,0.426,0.186,0.562,,0.500,12.2,22.2,0.335,,0.487,10.4,59.2,0.289
12,1992,6,New Jersey Nets,25.6,1,3,0.250,1,3,105.0,113.5,-8.5,96.9,0.218,0.108,0.487,,0.457,11.3,32.7,0.155,,0.479,14.7,60.4,0.367
13,1992,5,Detroit Pistons,30.0,2,3,0.400,1,4,96.9,105.8,-8.9,85.7,0.334,0.103,0.490,,0.435,14.9,26.5,0.255,,0.431,12.6,58.6,0.246
14,1992,5,San Antonio Spurs,28.4,0,3,0.000,1,2,110.1,119.6,-9.5,93.9,0.320,0.095,0.537,,0.506,14.0,33.6,0.213,,0.524,11.5,63.2,0.285
15,1992,8,Los Angeles Lakers,27.4,1,3,0.250,0,4,100.8,116.5,-15.7,91.4,0.418,0.064,0.513,,0.445,14.4,25.9,0.325,,0.532,14.6,58.7,0.268
16,1992,8,Miami Heat,24.5,0,3,0.000,0,3,107.0,126.4,-19.4,92.8,0.372,0.159,0.536,,0.487,13.7,27.3,0.272,,0.543,11.4,57.9,0.299
,1992,,League Average,28.0,,,,5,4,111.4,111.4,,91.7,0.364,0.101,0.545,,0.492,13.0,32.8,0.280,,0.492,13.0,67.2,0.280
