,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Year,Seed,Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1991,1,Chicago Bulls,27.2,15,2,0.882,14,3,117.2,104.0,13.2,88.1,0.334,0.068,0.569,,0.525,12.0,33.9,0.255,,0.470,15.4,70.4,0.290
2,1991,5,Utah Jazz,28.4,4,5,0.444,5,4,109.9,107.6,2.3,95.6,0.386,0.074,0.553,,0.485,13.0,28.1,0.324,,0.463,11.8,72.1,0.329
3,1991,1,Portland Trail Blazers,27.8,9,7,0.563,9,7,111.0,109.6,1.4,93.6,0.387,0.109,0.537,,0.486,13.4,35.9,0.284,,0.481,13.4,70.1,0.299
4,1991,2,Boston Celtics,28.7,5,6,0.455,6,5,114.7,113.4,1.3,95.3,0.407,0.050,0.563,,0.501,11.5,28.5,0.326,,0.475,9.7,68.5,0.297
5,1991,3,Los Angeles Lakers,28.2,12,7,0.632,10,9,111.7,110.6,1.1,92.0,0.381,0.125,0.561,,0.504,13.7,29.5,0.301,,0.504,12.5,68.8,0.203
6,1991,7,Indiana Pacers,26.5,2,3,0.400,2,3,116.4,116.8,-0.4,101.7,0.417,0.137,0.590,,0.524,13.0,26.5,0.349,,0.519,13.7,68.9,0.383
7,1991,3,Detroit Pistons,30.4,7,8,0.467,7,8,111.2,112.5,-1.3,90.3,0.333,0.112,0.509,,0.462,10.4,35.7,0.243,,0.472,10.8,68.1,0.332
8,1991,5,Philadelphia 76ers,28.4,4,4,0.500,4,4,110.8,112.2,-1.4,89.8,0.426,0.109,0.568,,0.504,13.4,26.2,0.341,,0.512,12.1,68.5,0.187
9,1991,7,Golden State Warriors,26.3,4,5,0.444,4,5,112.9,114.4,-1.5,100.2,0.312,0.148,0.572,,0.526,11.3,21.3,0.250,,0.514,13.6,67.8,0.343
10,1991,8,Seattle Supersonics,26.5,2,3,0.400,2,3,108.4,111.3,-2.9,95.6,0.376,0.112,0.539,,0.475,14.4,33.3,0.308,,0.506,15.5,63.6,0.324
11,1991,2,San Antonio Spurs,25.8,1,3,0.250,1,3,106.7,111.6,-4.9,101.0,0.414,0.078,0.547,,0.491,14.9,29.3,0.312,,0.526,13.2,78.6,0.266
12,1991,6,Houston Rockets,27.2,0,3,0.000,1,2,102.8,109.1,-6.3,90.8,0.197,0.157,0.517,,0.486,14.8,30.5,0.153,,0.509,13.7,75.4,0.274
13,1991,6,Atlanta Hawks,29.0,2,3,0.400,1,4,105.7,114.4,-8.7,91.9,0.416,0.126,0.497,,0.415,10.6,32.6,0.346,,0.484,11.4,62.1,0.219
14,1991,4,Milwaukee Bucks,29.0,0,3,0.000,1,2,103.6,115.3,-11.7,93.9,0.272,0.122,0.531,,0.494,15.2,27.1,0.201,,0.554,14.8,73.4,0.341
15,1991,4,Phoenix Suns,27.1,1,3,0.250,1,3,99.4,111.3,-11.9,96.4,0.431,0.105,0.495,,0.432,12.5,24.2,0.314,,0.522,14.1,73.4,0.305
16,1991,8,New York Knicks,28.7,0,3,0.000,0,3,93.7,115.5,-21.8,91.8,0.301,0.128,0.520,,0.468,21.3,29.8,0.242,,0.513,12.3,71.3,0.322
,1991,,League Average,28.0,,,,4,4,110.9,110.9,,93.3,0.367,0.105,0.547,,0.492,12.8,30.6,0.286,,0.492,12.8,69.4,0.286
