,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Year,Seed,Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1995,1,San Antonio Spurs,29.3,9,6,0.600,10,5,108.3,103.1,5.2,89.7,0.393,0.151,0.530,,0.473,13.6,32.3,0.299,,0.467,13.2,71.8,0.228
2,1995,3,New York Knicks,29.9,6,5,0.545,7,4,107.2,102.7,4.5,86.2,0.401,0.244,0.570,,0.533,16.8,27.7,0.276,,0.465,16.8,71.9,0.350
3,1995,2,Phoenix Suns,29.7,6,4,0.600,6,4,118.4,114.1,4.3,92.8,0.405,0.228,0.580,,0.522,11.7,30.7,0.323,,0.526,10.7,76.0,0.248
4,1995,4,Seattle Supersonics,28.5,1,3,0.250,3,1,111.4,107.1,4.3,87.3,0.298,0.224,0.534,,0.491,13.9,36.9,0.227,,0.500,15.5,70.8,0.290
5,1995,6,Houston Rockets,29.0,15,7,0.682,13,9,115.2,112.2,3.0,92.0,0.352,0.275,0.580,,0.537,11.5,23.5,0.266,,0.505,12.7,70.1,0.271
6,1995,2,Indiana Pacers,28.4,10,7,0.588,9,8,112.6,111.2,1.4,87.1,0.443,0.208,0.558,,0.496,15.1,34.8,0.341,,0.536,14.0,72.7,0.261
7,1995,1,Orlando Magic,26.3,11,10,0.524,11,10,114.0,112.6,1.4,89.4,0.376,0.277,0.568,,0.536,14.0,31.6,0.252,,0.495,12.9,66.7,0.276
8,1995,5,Chicago Bulls,28.5,5,5,0.500,5,5,111.3,110.2,1.1,87.5,0.313,0.194,0.541,,0.501,13.3,32.7,0.229,,0.488,14.7,65.4,0.328
9,1995,4,Charlotte Hornets,28.5,1,3,0.250,1,3,106.4,110.7,-4.3,84.7,0.404,0.226,0.529,,0.460,15.3,34.0,0.327,,0.526,15.6,66.9,0.198
10,1995,3,Utah Jazz,30.2,2,3,0.400,2,3,115.9,120.4,-4.5,89.7,0.459,0.184,0.577,,0.527,12.4,27.0,0.333,,0.598,13.8,79.6,0.360
11,1995,5,Los Angeles Lakers,25.1,5,5,0.500,3,7,100.8,106.3,-5.5,88.2,0.349,0.256,0.503,,0.457,13.8,28.6,0.246,,0.465,14.8,64.9,0.249
12,1995,6,Cleveland Cavaliers,28.6,1,3,0.250,1,3,97.0,106.7,-9.7,85.1,0.438,0.225,0.518,,0.455,16.1,19.3,0.326,,0.569,20.7,71.1,0.248
13,1995,7,Atlanta Hawks,28.3,0,3,0.000,1,2,101.7,113.8,-12.1,87.9,0.410,0.295,0.500,,0.441,12.7,27.6,0.300,,0.502,13.1,66.1,0.311
14,1995,8,Boston Celtics,28.0,1,3,0.250,1,3,99.0,112.8,-13.8,87.1,0.297,0.177,0.483,,0.435,16.4,37.9,0.222,,0.489,13.2,61.9,0.286
15,1995,7,Portland Trail Blazers,29.7,0,3,0.000,0,3,111.3,127.4,-16.1,91.3,0.396,0.179,0.541,,0.513,10.5,26.4,0.246,,0.567,11.6,70.5,0.418
16,1995,8,Denver Nuggets,26.7,0,3,0.000,0,3,102.5,119.4,-16.9,90.7,0.361,0.227,0.517,,0.457,16.2,33.3,0.283,,0.520,11.6,72.3,0.430
,1995,,League Average,28.3,,,,5,4,110.6,110.6,,89.0,0.380,0.230,0.551,,0.504,13.7,30.1,0.280,,0.504,13.7,69.9,0.280
