,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Year,Seed,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,2024,1,Boston Celtics,29.0,16,3,0.842,14,5,117.7,109.0,8.7,91.9,0.230,0.480,0.589,,0.555,11.1,23.7,0.187,,0.528,11.3,80.6,0.125
2,2024,1,Oklahoma City Thunder,23.0,6,4,0.600,7,3,112.0,105.4,6.6,94.3,0.216,0.396,0.563,,0.530,10.7,20.8,0.172,,0.501,14.4,72.9,0.170
3,2024,5,Orlando Magic,24.1,3,4,0.429,5,2,106.0,101.3,4.7,94.6,0.299,0.396,0.527,,0.481,13.2,26.7,0.231,,0.493,14.0,80.2,0.195
4,2024,3,Minnesota Timberwolves,27.0,9,7,0.563,10,6,117.0,112.5,4.5,91.8,0.285,0.393,0.576,,0.538,11.6,26.3,0.221,,0.538,12.8,78.4,0.222
5,2024,5,Dallas Mavericks,25.8,13,9,0.591,13,9,114.7,111.9,2.8,92.4,0.273,0.398,0.569,,0.540,11.9,26.1,0.196,,0.515,11.1,76.3,0.191
6,2024,6,Indiana Pacers,25.5,8,9,0.471,9,8,120.1,119.0,1.1,93.7,0.184,0.372,0.596,,0.576,11.2,25.4,0.137,,0.542,10.5,73.5,0.210
7,2024,7,Philadelphia 76ers,29.6,2,4,0.333,3,3,116.9,117.1,-0.2,90.9,0.296,0.428,0.574,,0.525,11.2,25.6,0.248,,0.507,9.8,67.8,0.196
8,2024,2,Denver Nuggets,27.3,7,5,0.583,5,7,110.6,112.8,-2.2,92.4,0.196,0.371,0.552,,0.519,11.5,22.8,0.162,,0.541,11.1,79.5,0.188
9,2024,2,New York Knicks,26.4,7,6,0.538,6,7,118.7,120.9,-2.2,91.9,0.278,0.362,0.558,,0.521,10.2,31.4,0.210,,0.567,11.2,74.2,0.189
10,2024,7,Los Angeles Lakers,29.3,1,4,0.200,2,3,111.7,114.0,-2.3,95.3,0.222,0.348,0.573,,0.544,10.6,17.5,0.170,,0.521,10.2,74.8,0.149
11,2024,3,Milwaukee Bucks,31.1,2,4,0.333,2,4,116.0,119.0,-3.0,93.3,0.245,0.365,0.576,,0.538,10.0,22.1,0.201,,0.556,9.1,76.2,0.140
12,2024,4,Cleveland Cavaliers,26.2,5,7,0.417,4,8,105.8,111.8,-6.0,92.7,0.204,0.394,0.540,,0.510,11.8,18.6,0.155,,0.518,12.4,73.7,0.210
13,2024,4,Los Angeles Clippers,30.5,2,4,0.333,2,4,110.3,117.7,-7.4,90.9,0.264,0.385,0.547,,0.506,12.8,26.9,0.209,,0.535,10.9,72.0,0.231
14,2024,6,Phoenix Suns,30.3,0,4,0.000,1,3,110.4,126.4,-16.0,93.5,0.370,0.343,0.586,,0.528,13.9,18.2,0.307,,0.548,12.3,64.7,0.287
15,2024,8,New Orleans Pelicans,26.9,0,4,0.000,0,4,94.9,111.7,-16.8,94.3,0.189,0.388,0.489,,0.448,16.4,25.7,0.163,,0.563,12.7,81.6,0.159
16,2024,8,Miami Heat,26.3,1,4,0.200,1,4,101.6,118.8,-17.2,90.8,0.148,0.419,0.533,,0.507,11.8,13.3,0.121,,0.566,11.0,77.3,0.192
,2024,,League Average,27.0,,,,5,5,113.6,113.6,,92.6,0.241,0.396,0.566,,0.532,11.6,24.1,0.188,,0.532,11.6,75.9,0.188
