,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Year,Seed,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,2009,1,Cleveland Cavaliers,27.2,10,4,0.714,11,3,112.6,102.7,9.9,86.1,0.383,0.263,0.556,,0.507,12.3,27.6,0.284,,0.480,12.5,78.3,0.230
2,2009,2,Denver Nuggets,27.8,10,6,0.625,12,4,116.8,107.5,9.3,92.4,0.426,0.269,0.579,,0.526,11.5,26.4,0.324,,0.493,14.8,74.7,0.326
3,2009,1,Los Angeles Lakers,27.3,16,7,0.696,17,6,111.4,103.5,7.9,91.1,0.342,0.229,0.553,,0.508,12.3,27.1,0.255,,0.471,13.7,73.8,0.270
4,2009,3,Orlando Magic,27.3,13,11,0.542,14,10,107.3,105.3,2.0,89.2,0.360,0.309,0.555,,0.513,13.1,21.6,0.260,,0.488,12.7,77.2,0.232
5,2009,5,Miami Heat,25.6,3,4,0.429,4,3,106.7,105.6,1.1,82.6,0.324,0.287,0.554,,0.501,14.4,25.2,0.265,,0.464,12.5,73.1,0.261
6,2009,2,Boston Celtics,27.4,7,7,0.500,7,7,106.3,106.3,0.0,91.4,0.309,0.222,0.535,,0.485,12.5,25.1,0.245,,0.493,13.3,77.8,0.265
7,2009,6,Dallas Mavericks,29.1,5,5,0.500,5,5,113.0,114.0,-1.0,89.9,0.375,0.272,0.576,,0.518,12.8,24.7,0.305,,0.525,11.0,77.4,0.271
8,2009,5,Houston Rockets,26.9,7,6,0.538,6,7,104.7,106.4,-1.7,87.4,0.288,0.265,0.533,,0.490,14.2,24.8,0.221,,0.487,11.6,73.7,0.210
9,2009,7,Chicago Bulls,25.5,3,4,0.429,3,4,105.9,110.1,-4.2,92.6,0.343,0.221,0.540,,0.483,13.9,24.3,0.277,,0.495,11.6,73.2,0.243
10,2009,4,Portland Trail Blazers,24.5,2,4,0.333,2,4,103.9,110.2,-6.3,83.9,0.264,0.190,0.524,,0.484,12.0,23.7,0.201,,0.517,12.8,76.1,0.222
11,2009,3,San Antonio Spurs,30.6,1,4,0.200,1,4,105.4,112.4,-7.0,85.7,0.269,0.230,0.528,,0.495,11.4,21.3,0.191,,0.516,12.1,76.6,0.274
12,2009,4,Atlanta Hawks,26.2,4,7,0.364,3,8,102.0,110.6,-8.6,82.4,0.323,0.238,0.499,,0.450,12.6,26.1,0.241,,0.514,14.4,69.8,0.263
13,2009,6,Philadelphia 76ers,26.6,2,4,0.333,1,5,100.5,109.2,-8.7,88.0,0.276,0.211,0.526,,0.492,14.9,21.3,0.196,,0.514,12.9,74.2,0.237
14,2009,8,Utah Jazz,25.6,1,4,0.200,1,4,104.2,114.1,-9.9,93.4,0.373,0.180,0.517,,0.463,13.4,30.4,0.277,,0.546,14.6,73.5,0.271
15,2009,8,Detroit Pistons,28.3,0,4,0.000,0,4,93.6,112.2,-18.6,83.3,0.188,0.159,0.468,,0.429,11.9,19.7,0.156,,0.498,11.7,73.2,0.349
16,2009,7,New Orleans Hornets,28.3,1,4,0.200,0,5,93.7,120.7,-27.0,89.8,0.399,0.262,0.510,,0.439,18.2,22.4,0.322,,0.563,12.3,73.5,0.290
,2009,,League Average,27.2,,,,5,5,107.7,107.7,,88.7,0.341,0.249,0.544,,0.496,13.0,24.9,0.259,,0.496,13.0,75.1,0.259
