,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Year,Seed,Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1986,1,Boston Celtics,29.3,15,3,0.833,14,4,115.0,104.6,10.4,98.4,0.349,0.074,0.572,,0.521,13.2,32.1,0.278,,0.465,12.7,68.5,0.221
2,1986,1,Los Angeles Lakers,28.3,8,6,0.571,10,4,115.6,107.9,7.7,99.9,0.281,0.063,0.580,,0.546,14.0,33.1,0.213,,0.498,13.0,70.3,0.225
3,1986,2,Houston Rockets,25.4,13,7,0.650,12,8,110.7,106.9,3.8,99.0,0.322,0.027,0.528,,0.488,12.6,37.1,0.230,,0.476,13.8,66.9,0.236
4,1986,3,Philadelphia 76ers,27.9,6,6,0.500,7,5,111.4,108.5,2.9,98.3,0.443,0.037,0.547,,0.490,14.3,38.7,0.327,,0.501,14.6,67.8,0.254
5,1986,4,Dallas Mavericks,25.8,5,5,0.500,5,5,114.4,115.7,-1.3,96.9,0.332,0.067,0.555,,0.506,12.5,32.9,0.259,,0.523,10.7,67.8,0.199
6,1986,2,Milwaukee Bucks,26.0,7,7,0.500,6,8,109.8,112.3,-2.5,100.0,0.390,0.061,0.553,,0.507,14.3,31.2,0.282,,0.504,14.4,65.9,0.334
7,1986,4,Atlanta Hawks,25.1,4,5,0.444,4,5,109.1,111.9,-2.8,99.5,0.366,0.027,0.545,,0.499,13.1,30.0,0.267,,0.504,12.5,67.4,0.243
8,1986,3,Denver Nuggets,27.9,5,5,0.500,4,6,108.2,111.3,-3.1,102.7,0.328,0.056,0.521,,0.466,11.6,32.5,0.260,,0.498,13.8,65.0,0.253
9,1986,5,Utah Jazz,25.9,1,3,0.250,1,3,110.1,114.7,-4.6,93.5,0.245,0.025,0.518,,0.487,10.0,32.8,0.173,,0.486,13.4,64.5,0.323
10,1986,6,Portland Trail Blazers,27.0,1,3,0.250,1,3,108.7,113.5,-4.8,103.5,0.356,0.063,0.554,,0.503,15.8,31.5,0.276,,0.481,11.7,62.9,0.291
11,1986,5,Detroit Pistons,26.3,1,3,0.250,1,3,109.6,114.8,-5.2,101.0,0.321,0.021,0.525,,0.482,12.8,35.4,0.234,,0.518,12.3,69.2,0.342
12,1986,6,Washington Bullets,27.6,2,3,0.400,2,3,104.8,110.8,-6.0,96.0,0.317,0.056,0.511,,0.469,13.4,30.8,0.227,,0.477,13.6,56.3,0.252
13,1986,7,New Jersey Nets,27.3,0,3,0.000,1,2,107.0,117.5,-10.5,98.7,0.413,0.067,0.528,,0.469,14.8,35.4,0.311,,0.537,13.7,65.8,0.369
14,1986,8,Chicago Bulls,25.4,0,3,0.000,1,2,108.0,121.1,-13.1,97.8,0.379,0.029,0.524,,0.466,12.0,29.1,0.292,,0.529,12.5,66.7,0.388
15,1986,7,Sacramento Kings,26.9,0,3,0.000,0,3,102.0,117.2,-15.2,94.1,0.332,0.037,0.469,,0.410,14.5,43.6,0.254,,0.542,13.5,62.2,0.245
16,1986,8,San Antonio Spurs,27.9,0,3,0.000,0,3,91.0,122.3,-31.3,101.1,0.261,0.040,0.497,,0.470,16.3,16.7,0.169,,0.602,16.2,57.4,0.223
,1986,,League Average,27.0,,,,4,4,110.6,110.6,,99.0,0.343,0.049,0.543,,0.497,13.3,33.4,0.257,,0.497,13.3,66.6,0.257
