,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Year,Seed,Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1990,1,Detroit Pistons,29.3,15,5,0.750,15,5,109.7,102.2,7.5,92.2,0.350,0.103,0.538,,0.490,13.8,33.9,0.263,,0.451,14.1,70.8,0.280
2,1990,2,San Antonio Spurs,25.3,6,4,0.600,7,3,111.0,106.1,4.9,102.2,0.310,0.030,0.540,,0.505,13.4,35.1,0.217,,0.459,13.5,68.3,0.319
3,1990,3,Chicago Bulls,26.3,10,6,0.625,10,6,109.9,106.2,3.7,92.7,0.371,0.109,0.538,,0.485,13.2,31.8,0.282,,0.488,16.1,69.3,0.334
4,1990,5,Phoenix Suns,27.1,9,7,0.563,10,6,110.5,107.3,3.2,97.9,0.403,0.086,0.552,,0.490,13.7,30.6,0.318,,0.469,12.1,67.6,0.228
5,1990,1,Los Angeles Lakers,28.9,4,5,0.444,5,4,112.7,110.0,2.7,94.1,0.350,0.118,0.568,,0.516,14.5,32.1,0.280,,0.483,12.7,66.1,0.268
6,1990,7,Cleveland Cavaliers,26.4,2,3,0.400,3,2,113.9,111.3,2.6,93.8,0.401,0.090,0.583,,0.531,12.4,25.1,0.311,,0.480,11.6,69.6,0.283
7,1990,4,Boston Celtics,31.0,2,3,0.400,3,2,119.0,118.4,0.6,99.9,0.363,0.082,0.616,,0.558,15.3,31.9,0.313,,0.527,10.8,67.8,0.263
8,1990,4,Utah Jazz,27.8,2,3,0.400,2,3,108.0,109.5,-1.5,94.8,0.290,0.110,0.518,,0.479,11.5,29.1,0.210,,0.480,14.0,70.1,0.361
9,1990,3,Portland Trail Blazers,26.7,12,9,0.571,9,12,105.8,108.0,-2.2,99.3,0.395,0.105,0.516,,0.463,13.4,33.5,0.287,,0.491,14.3,67.7,0.254
10,1990,2,Philadelphia 76ers,27.3,4,6,0.400,3,7,109.6,115.0,-5.4,93.2,0.385,0.103,0.546,,0.491,13.8,30.4,0.297,,0.530,12.0,71.3,0.263
11,1990,5,New York Knicks,28.0,4,6,0.400,3,7,110.3,116.6,-6.3,95.2,0.337,0.082,0.541,,0.492,12.1,30.8,0.259,,0.539,14.0,67.2,0.249
12,1990,8,Houston Rockets,27.3,1,3,0.250,1,3,105.6,114.0,-8.4,92.6,0.328,0.118,0.505,,0.469,13.0,34.7,0.219,,0.564,15.9,71.4,0.264
13,1990,6,Dallas Mavericks,28.3,0,3,0.000,1,2,103.2,112.8,-9.6,97.2,0.333,0.119,0.540,,0.492,16.2,27.6,0.255,,0.473,11.6,62.3,0.314
14,1990,6,Milwaukee Bucks,28.4,1,3,0.250,1,3,107.3,117.4,-10.1,94.1,0.485,0.147,0.568,,0.503,16.1,26.0,0.372,,0.529,13.8,63.5,0.359
15,1990,7,Denver Nuggets,29.6,0,3,0.000,1,2,105.1,116.1,-11.0,108.8,0.291,0.108,0.514,,0.453,10.2,24.8,0.253,,0.529,11.8,67.4,0.227
16,1990,8,Indiana Pacers,26.2,0,3,0.000,0,3,103.5,117.4,-13.9,88.6,0.320,0.101,0.529,,0.471,14.5,29.5,0.263,,0.492,11.1,63.3,0.249
,1990,,League Average,27.5,,,,5,4,109.4,109.4,,95.9,0.364,0.097,0.542,,0.490,13.5,31.7,0.277,,0.490,13.5,68.3,0.277
