,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors
Rk,Year,Seed,Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,1985,1,Los Angeles Lakers,27.4,15,4,0.789,15,4,117.0,107.6,9.4,108.0,0.349,0.044,0.592,,0.552,13.9,33.0,0.264,,0.478,13.1,68.8,0.256
2,1985,1,Boston Celtics,28.7,13,8,0.619,12,9,111.3,108.7,2.6,101.6,0.345,0.050,0.549,,0.491,13.5,32.3,0.283,,0.492,12.7,68.8,0.231
3,1985,3,Philadelphia 76ers,28.3,8,5,0.615,8,5,107.8,105.4,2.4,99.3,0.365,0.027,0.545,,0.493,16.0,35.9,0.279,,0.484,15.8,67.1,0.251
4,1985,2,Denver Nuggets,28.2,8,7,0.533,8,7,111.6,109.9,1.7,108.6,0.337,0.042,0.543,,0.492,12.7,33.1,0.263,,0.533,16.3,70.1,0.288
5,1985,8,Cleveland Cavaliers,26.9,1,3,0.250,2,2,110.5,110.5,0.0,101.6,0.306,0.028,0.550,,0.507,13.2,30.8,0.233,,0.477,14.6,65.6,0.332
6,1985,3,Houston Rockets,25.5,2,3,0.400,2,3,100.2,100.3,-0.1,103.8,0.317,0.044,0.461,,0.435,12.4,39.4,0.180,,0.440,16.1,72.5,0.366
7,1985,4,Detroit Pistons,26.9,5,4,0.556,4,5,111.7,113.4,-1.7,103.2,0.315,0.033,0.531,,0.480,11.7,34.1,0.251,,0.512,13.6,67.1,0.275
8,1985,2,Milwaukee Bucks,25.4,3,5,0.375,3,5,109.5,111.8,-2.3,99.5,0.402,0.066,0.566,,0.505,17.1,34.8,0.323,,0.497,14.5,63.7,0.290
9,1985,4,Dallas Mavericks,24.8,1,3,0.250,2,2,115.5,117.9,-2.4,96.8,0.433,0.066,0.558,,0.483,12.4,32.3,0.361,,0.529,12.3,60.5,0.190
10,1985,6,Utah Jazz,27.0,4,6,0.400,4,6,103.6,106.8,-3.2,106.1,0.431,0.055,0.534,,0.466,15.1,27.2,0.339,,0.470,13.1,62.1,0.215
11,1985,6,Washington Bullets,26.5,1,3,0.250,1,3,105.0,109.2,-4.2,96.9,0.331,0.086,0.525,,0.485,15.1,33.5,0.234,,0.500,17.5,57.5,0.286
12,1985,5,Portland Trail Blazers,25.3,4,5,0.444,3,6,111.8,116.5,-4.7,103.0,0.307,0.041,0.535,,0.491,12.7,36.7,0.232,,0.509,13.9,64.1,0.350
13,1985,7,Chicago Bulls,25.0,1,3,0.250,1,3,108.2,113.9,-5.7,97.3,0.367,0.056,0.532,,0.472,14.5,36.7,0.290,,0.514,16.5,65.7,0.391
14,1985,5,New Jersey Nets,26.4,0,3,0.000,1,2,104.6,114.4,-9.8,105.4,0.301,0.015,0.537,,0.498,13.7,25.0,0.221,,0.483,12.0,69.1,0.369
15,1985,7,San Antonio Spurs,29.0,2,3,0.400,1,4,105.3,115.4,-10.1,104.7,0.487,0.064,0.582,,0.532,19.3,28.6,0.349,,0.504,12.0,68.2,0.304
16,1985,8,Phoenix Suns,26.2,0,3,0.000,0,3,105.8,124.4,-18.6,109.4,0.343,0.048,0.556,,0.504,16.8,30.4,0.273,,0.609,14.2,66.4,0.265
,1985,,League Average,27.2,,,,4,4,110.2,110.2,,103.5,0.355,0.046,0.549,,0.497,14.1,33.1,0.274,,0.497,14.1,66.9,0.274
